Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
320,Jalen Reagor,MIN,23,WR,14,0,11,6,54.5%,87,14.5,1,4,38,7.9,0.4,6.2,3,ReagJa00
321,Trent Taylor,CIN,28,WR,14,1,10,6,60.0%,62,10.3,0,1,34,6.2,0.4,4.4,2,TaylTr02
322,Andre Baccellia,ARI,25,WR,6,0,7,5,71.4%,32,6.4,0,3,11,4.6,0.8,5.3,0,BaccAn00
323,Cole Beasley,2TM,33,,3,1,6,5,83.3%,26,5.2,0,1,9,4.3,1.7,8.7,0,BeasCo00
324,Dyami Brown,WAS,23,WR,12,0,14,5,35.7%,143,28.6,2,5,75,10.2,0.4,11.9,0,BrowDy00
325,Lawrence Cager,2TM,25,TE,6,3,9,5,55.6%,49,9.8,1,3,20,5.4,0.8,8.2,0,CageLa01
326,Grant Calcaterra,PHI,24,TE,12,2,9,5,55.6%,81,16.2,0,3,40,9.0,0.4,6.8,0,CalcGr00
327,D'Onta Foreman,CAR,26,RB,14,7,9,5,55.6%,26,5.2,0,1,23,2.9,0.4,1.9,1,ForeDO00
328,C.J. Ham,MIN,29,FB,14,3,7,5,71.4%,34,6.8,0,3,12,4.9,0.4,2.4,0,HamxC.00
329,N'Keal Harry,CHI,25,WR,4,0,6,5,83.3%,93,18.6,1,3,49,15.5,1.3,23.3,0,HarrNK00
330,Hassan Haskins,TEN,23,RB,12,0,5,5,100.0%,14,2.8,0,0,9,2.8,0.4,1.2,0,HaskHa00
331,Zander Horvath,LAC,24,FB,14,2,8,5,62.5%,8,1.6,2,2,5,1.0,0.4,0.6,0,HorvZa00
332,Tony Jones,2TM,25,RB,6,0,8,5,62.5%,30,6.0,0,0,9,3.8,0.8,5.0,0,JoneTo04
333,Gunner Olszewski,PIT,26,WR,13,2,7,5,71.4%,53,10.6,0,1,31,7.6,0.4,4.1,2,OlszGu00
334,Ronnie Rivers,LAR,23,RB,6,1,5,5,100.0%,29,5.8,0,1,14,5.8,0.8,4.8,0,RiveRo01
